pid,TARIFF
64123,TARIFF_OPTION_87
64125,TARIFF_OPTION_87
64126,TARIFF_OPTION_87
64127,TARIFF_OPTION_87
64128,TARIFF_OPTION_87
64129,TARIFF_OPTION_87
64130,TARIFF_OPTION_87
64131,TARIFF_OPTION_87
64132,TARIFF_OPTION_87
64134,TARIFF_OPTION_87
64135,TARIFF_OPTION_88
64136,TARIFF_OPTION_87
64137,TARIFF_OPTION_88
64139,TARIFF_OPTION_87
64140,TARIFF_OPTION_87
64142,TARIFF_OPTION_87
64143,TARIFF_OPTION_87
64144,TARIFF_OPTION_87
64144,TARIFF_OPTION_96
64144,TARIFF_OPTION_123
64145,TARIFF_OPTION_87
64146,TARIFF_OPTION_87
64147,TARIFF_OPTION_87
64148,TARIFF_OPTION_93
64149,TARIFF_OPTION_87
64150,TARIFF_OPTION_87
64151,TARIFF_OPTION_87
64152,TARIFF_OPTION_87
64153,TARIFF_OPTION_88
64154,TARIFF_OPTION_87
64154,TARIFF_OPTION_95
64154,TARIFF_OPTION_97
64154,TARIFF_OPTION_116
64154,TARIFF_OPTION_137
64155,TARIFF_OPTION_93
64156,TARIFF_OPTION_88
64157,TARIFF_OPTION_87
64157,TARIFF_OPTION_101
64157,TARIFF_OPTION_105
64158,TARIFF_OPTION_87
64158,TARIFF_OPTION_97
64159,TARIFF_OPTION_87
64160,TARIFF_OPTION_87
64161,TARIFF_OPTION_87
64162,TARIFF_OPTION_87
64163,TARIFF_OPTION_87
64164,TARIFF_OPTION_87
64165,TARIFF_OPTION_87
64166,TARIFF_OPTION_88
64167,TARIFF_OPTION_87
64168,TARIFF_OPTION_87
64170,TARIFF_OPTION_87
64171,TARIFF_OPTION_87
64172,TARIFF_OPTION_87
64172,TARIFF_OPTION_95
64172,TARIFF_OPTION_97
64172,TARIFF_OPTION_118
64173,TARIFF_OPTION_87
64174,TARIFF_OPTION_87
64174,TARIFF_OPTION_97
64177,TARIFF_OPTION_87
64178,TARIFF_OPTION_87
64179,TARIFF_OPTION_87
64180,TARIFF_OPTION_87
64181,TARIFF_OPTION_87
64182,TARIFF_OPTION_87
64183,TARIFF_OPTION_87
64184,TARIFF_OPTION_87
64185,TARIFF_OPTION_87
64186,TARIFF_OPTION_88
64187,TARIFF_OPTION_87
64191,TARIFF_OPTION_87
64192,TARIFF_OPTION_87
64193,TARIFF_OPTION_87
64195,TARIFF_OPTION_93
64196,TARIFF_OPTION_87
64197,TARIFF_OPTION_87
64199,TARIFF_OPTION_87
64200,TARIFF_OPTION_87
64204,TARIFF_OPTION_87
64205,TARIFF_OPTION_88
64206,TARIFF_OPTION_93
64207,TARIFF_OPTION_87
64208,TARIFF_OPTION_87
64209,TARIFF_OPTION_87
64209,TARIFF_OPTION_95
64209,TARIFF_OPTION_97
64209,TARIFF_OPTION_118
64210,TARIFF_OPTION_87
64212,TARIFF_OPTION_87
64213,TARIFF_OPTION_87
64214,TARIFF_OPTION_87
64215,TARIFF_OPTION_87
64216,TARIFF_OPTION_87
64218,TARIFF_OPTION_87
64219,TARIFF_OPTION_87
64220,TARIFF_OPTION_87
64221,TARIFF_OPTION_87
64222,TARIFF_OPTION_87
64223,TARIFF_OPTION_87
64223,TARIFF_OPTION_97
64225,TARIFF_OPTION_87
64226,TARIFF_OPTION_87
64227,TARIFF_OPTION_87
64228,TARIFF_OPTION_87
64229,TARIFF_OPTION_87
64230,TARIFF_OPTION_87
64232,TARIFF_OPTION_93
64234,TARIFF_OPTION_87
64234,TARIFF_OPTION_97
64234,TARIFF_OPTION_124
64235,TARIFF_OPTION_87
64235,TARIFF_OPTION_97
64236,TARIFF_OPTION_87
64236,TARIFF_OPTION_97
64237,TARIFF_OPTION_87
64237,TARIFF_OPTION_96
64237,TARIFF_OPTION_122
64238,TARIFF_OPTION_87
64238,TARIFF_OPTION_97
64239,TARIFF_OPTION_87
64240,TARIFF_OPTION_87
64241,TARIFF_OPTION_87
64242,TARIFF_OPTION_87
64243,TARIFF_OPTION_87
64244,TARIFF_OPTION_87
64246,TARIFF_OPTION_88
64252,TARIFF_OPTION_87
64254,TARIFF_OPTION_87
64256,TARIFF_OPTION_87
64257,TARIFF_OPTION_87
64258,TARIFF_OPTION_93
64260,TARIFF_OPTION_87
64261,TARIFF_OPTION_87
64262,TARIFF_OPTION_87
64263,TARIFF_OPTION_87
64265,TARIFF_OPTION_87
64266,TARIFF_OPTION_93
64267,TARIFF_OPTION_88
64268,TARIFF_OPTION_87
64268,TARIFF_OPTION_95
64268,TARIFF_OPTION_97
64268,TARIFF_OPTION_118
64269,TARIFF_OPTION_87
64269,TARIFF_OPTION_88
64270,TARIFF_OPTION_87
64270,TARIFF_OPTION_97
64271,TARIFF_OPTION_87
64272,TARIFF_OPTION_88
64273,TARIFF_OPTION_87
64274,TARIFF_OPTION_87
64274,TARIFF_OPTION_95
64274,TARIFF_OPTION_97
64274,TARIFF_OPTION_113
64275,TARIFF_OPTION_87
64276,TARIFF_OPTION_87
64276,TARIFF_OPTION_88
64277,TARIFF_OPTION_87
64280,TARIFF_OPTION_87
64281,TARIFF_OPTION_87
64282,TARIFF_OPTION_88
64283,TARIFF_OPTION_88
64285,TARIFF_OPTION_88
64287,TARIFF_OPTION_87
64288,TARIFF_OPTION_87
64290,TARIFF_OPTION_93
64291,TARIFF_OPTION_87
64292,TARIFF_OPTION_87
64293,TARIFF_OPTION_87
64296,TARIFF_OPTION_87
64296,TARIFF_OPTION_95
64296,TARIFF_OPTION_97
64296,TARIFF_OPTION_115
64296,TARIFF_OPTION_137
64299,TARIFF_OPTION_87
64300,TARIFF_OPTION_93
64301,TARIFF_OPTION_87
64301,TARIFF_OPTION_95
64301,TARIFF_OPTION_97
64301,TARIFF_OPTION_117
64302,TARIFF_OPTION_87
64303,TARIFF_OPTION_87
64304,TARIFF_OPTION_87
64305,TARIFF_OPTION_87
64306,TARIFF_OPTION_87
64308,TARIFF_OPTION_87
64309,TARIFF_OPTION_87
64310,TARIFF_OPTION_87
64311,TARIFF_OPTION_93
64313,TARIFF_OPTION_88
64317,TARIFF_OPTION_87
64318,TARIFF_OPTION_87
64319,TARIFF_OPTION_87
64320,TARIFF_OPTION_87
64321,TARIFF_OPTION_87
64322,TARIFF_OPTION_88
64323,TARIFF_OPTION_87
64325,TARIFF_OPTION_88
64326,TARIFF_OPTION_87
64327,TARIFF_OPTION_87
64328,TARIFF_OPTION_88
64329,TARIFF_OPTION_87
64330,TARIFF_OPTION_88
64332,TARIFF_OPTION_87
64333,TARIFF_OPTION_87
64336,TARIFF_OPTION_87
64337,TARIFF_OPTION_87
64338,TARIFF_OPTION_88
64339,TARIFF_OPTION_87
64342,TARIFF_OPTION_87
64343,TARIFF_OPTION_87
64346,TARIFF_OPTION_87
64347,TARIFF_OPTION_87
64347,TARIFF_OPTION_95
64347,TARIFF_OPTION_97
64347,TARIFF_OPTION_116
64347,TARIFF_OPTION_137
64349,TARIFF_OPTION_88
64351,TARIFF_OPTION_87
64352,TARIFF_OPTION_87
64352,TARIFF_OPTION_95
64352,TARIFF_OPTION_97
64352,TARIFF_OPTION_118
64353,TARIFF_OPTION_87
64354,TARIFF_OPTION_87
64355,TARIFF_OPTION_87
64358,TARIFF_OPTION_87
64359,TARIFF_OPTION_88
64361,TARIFF_OPTION_88
64362,TARIFF_OPTION_87
64363,TARIFF_OPTION_87
64363,TARIFF_OPTION_88
